Team,Goals Scored,Goals Against,Opposing Team,Half-time Home Goals,Half-time Away Goals,RoundID,MatchID
Spain,2,2,Uruguay,2,1,209,1207
Sweden,1,7,Brazil,0,3,209,1189
Spain,1,6,Brazil,0,3,209,1186
Sweden,2,3,Uruguay,2,1,209,1231
Spain,1,3,Sweden,0,2,209,1206
Brazil,1,2,Uruguay,0,0,209,1190
Czechoslovakia,0,2,Uruguay,0,0,211,1315
Scotland,0,1,Austria,0,1,211,1236
Mexico,0,5,Brazil,0,4,211,1249
France,0,1,Yugoslavia,0,1,211,1276
Turkey,1,4,Germany FR,1,1,211,1283
Korea Republic,0,9,Hungary,0,4,211,1294
Belgium,4,4,England,0,0,211,1240
Italy,1,2,Switzerland,1,1,211,1300
Scotland,0,7,Uruguay,0,2,211,1313
Czechoslovakia,0,5,Austria,0,4,211,1238
Mexico,2,3,France,0,1,211,1275
Yugoslavia,1,1,Brazil,0,0,211,1252
Germany FR,3,8,Hungary,1,3,211,1277
Korea Republic,0,7,Turkey,0,4,211,1304
Switzerland,0,2,England,0,1,211,1263
Belgium,1,4,Italy,0,1,211,1243
Turkey,2,7,Germany FR,1,3,211,1284
Italy,1,4,Switzerland,0,1,211,1301
England,2,4,Uruguay,1,2,212,1264
Switzerland,5,7,Austria,4,5,212,1237
Yugoslavia,0,2,Germany FR,0,1,212,1285
Brazil,2,4,Hungary,1,2,212,1248
Austria,1,6,Germany FR,0,1,462,1233
Uruguay,2,4,Hungary,0,0,462,1295
Uruguay,1,3,Austria,1,1,3485,1239
Hungary,2,3,Germany FR,2,2,3484,1278
Mexico,0,3,Sweden,0,1,220,1415
England,2,2,Soviet Union,0,1,220,1372
Germany FR,3,1,Argentina,2,1,220,1323
Wales,1,1,Hungary,1,1,220,1407
Paraguay,3,7,France,2,2,220,1386
Scotland,1,1,Yugoslavia,0,1,220,1434
Austria,0,3,Brazil,0,1,220,1326
Czechoslovakia,0,1,Northern Ireland,0,1,220,1421
England,0,0,Brazil,0,0,220,1339
Wales,1,1,Mexico,1,0,220,1418
Scotland,2,3,Paraguay,1,2,220,1423
France,2,3,Yugoslavia,1,1,220,1388
Austria,0,2,Soviet Union,0,1,220,1332
Czechoslovakia,2,2,Germany FR,2,0,220,1391
Northern Ireland,1,3,Argentina,1,1,220,1324
Hungary,1,2,Sweden,0,1,220,1406
Wales,0,0,Sweden,0,0,220,1438
Soviet Union,0,2,Brazil,0,1,220,1344
Northern Ireland,2,2,Germany FR,1,1,220,1389
Mexico,0,4,Hungary,0,1,220,1403
Yugoslavia,3,3,Paraguay,2,1,220,1426
Scotland,1,2,France,0,2,220,1387
Austria,2,2,England,1,0,220,1327
Argentina,1,6,Czechoslovakia,0,3,220,1325
England,0,1,Soviet Union,0,0,220,1373
Czechoslovakia,1,2,Northern Ireland,0,0,220,1422
Hungary,1,2,Wales,1,0,220,1408
Wales,0,1,Brazil,0,0,221,1345
Yugoslavia,0,1,Germany FR,0,1,221,1392
Soviet Union,0,2,Sweden,0,0,221,1437
Northern Ireland,0,4,France,0,1,221,1385
Germany FR,1,3,Sweden,1,1,488,1390
France,2,5,Brazil,1,2,488,1340
Germany FR,3,6,France,1,3,3483,1382
Sweden,2,5,Brazil,1,2,3482,1343
Colombia,1,2,Uruguay,1,0,231,1479
Mexico,0,2,Brazil,0,0,231,1461
Bulgaria,0,1,Argentina,0,1,231,1447
Switzerland,1,3,Chile,1,1,231,1473
Yugoslavia,0,2,Soviet Union,0,0,231,1563
Spain,0,1,Czechoslovakia,0,0,231,1498
England,1,2,Hungary,0,1,231,1490
Italy,0,0,Germany FR,0,0,231,1507
Uruguay,1,3,Yugoslavia,1,2,231,1564
Czechoslovakia,0,0,Brazil,0,0,231,1462
Argentina,1,3,England,0,2,231,1450
Italy,0,2,Chile,0,0,231,1472
Colombia,4,4,Soviet Union,1,3,231,1478
Mexico,0,1,Spain,0,0,231,1497
Bulgaria,1,6,Hungary,0,4,231,1470
Switzerland,1,2,Germany FR,0,1,231,1510
Uruguay,1,2,Soviet Union,0,1,231,1562
Spain,1,2,Brazil,1,0,231,1460
Argentina,0,0,Hungary,0,0,231,1451
Chile,0,2,Germany FR,0,1,231,1471
Colombia,0,5,Yugoslavia,0,2,231,1480
Czechoslovakia,1,3,Mexico,1,2,231,1544
Bulgaria,0,0,England,0,0,231,1464
Switzerland,0,3,Italy,0,1,231,1532
Soviet Union,1,2,Chile,1,2,232,1474
England,1,3,Brazil,1,1,232,1459
Hungary,0,1,Czechoslovakia,0,1,232,1525
Germany FR,0,1,Yugoslavia,0,0,232,1511
Yugoslavia,1,3,Czechoslovakia,0,0,514,1559
Chile,2,4,Brazil,1,2,514,1458
Yugoslavia,0,1,Chile,0,0,3481,1475
Czechoslovakia,1,3,Brazil,1,1,3480,1463
Uruguay,0,0,England,0,0,238,1636
Switzerland,0,5,Germany FR,0,3,238,1656
Bulgaria,0,2,Brazil,0,1,238,1596
Korea DPR,0,3,Soviet Union,0,2,238,1710
Mexico,1,1,France,0,0,238,1650
Hungary,1,3,Portugal,0,1,238,1675
Spain,1,2,Argentina,0,0,238,1578
Chile,0,2,Italy,0,1,238,1608
France,1,2,Uruguay,1,2,238,1653
Switzerland,1,2,Spain,1,0,238,1641
Brazil,1,3,Hungary,1,1,238,1597
Chile,1,1,Korea DPR,1,0,238,1609
Bulgaria,0,3,Portugal,0,2,238,1602
Argentina,0,0,Germany FR,0,0,238,1579
Italy,0,1,Soviet Union,0,0,238,1682
Mexico,0,2,England,0,1,238,1634
Mexico,0,0,Uruguay,0,0,238,1689
Switzerland,0,2,Argentina,0,0,238,1582
Brazil,1,3,Portugal,0,2,238,1598
Italy,0,1,Korea DPR,0,1,238,1679
France,0,2,England,0,1,238,1632
Bulgaria,1,3,Hungary,1,2,238,1599
Spain,1,2,Germany FR,1,1,238,1637
Chile,1,2,Soviet Union,1,1,238,1610
Argentina,0,1,England,0,0,239,1577
Uruguay,0,4,Germany FR,0,1,239,1660
Hungary,1,2,Soviet Union,0,1,239,1676
Korea DPR,3,5,Portugal,3,2,239,1702
Soviet Union,1,2,Germany FR,0,1,536,1659
Portugal,1,2,England,0,1,536,1635
Soviet Union,1,2,Portugal,1,1,3479,1709
Germany FR,2,4,England,0,0,3478,1633
Soviet Union,0,0,Mexico,0,0,250,1902
Israel,0,2,Uruguay,0,1,250,1881
Bulgaria,2,3,Peru,1,0,250,1780
Romania,0,1,England,0,0,250,1812
Sweden,0,1,Italy,0,1,250,1883
Morocco,1,2,Germany FR,1,0,250,1839
Czechoslovakia,1,4,Brazil,1,1,250,1770
El Salvador,0,3,Belgium,0,1,250,1747
Italy,0,0,Uruguay,0,0,250,1884
Morocco,0,3,Peru,0,0,250,1893
Czechoslovakia,1,2,Romania,1,0,250,1919
Belgium,1,4,Soviet Union,0,1,250,1753
Israel,1,1,Sweden,0,0,250,1880
Bulgaria,2,5,Germany FR,1,2,250,1774
England,0,1,Brazil,0,0,250,1764
El Salvador,0,4,Mexico,0,1,250,1820
Uruguay,0,1,Sweden,0,0,250,1922
Peru,1,3,Germany FR,1,3,250,1840
Romania,2,3,Brazil,1,2,250,1769
El Salvador,0,2,Soviet Union,0,0,250,1823
Israel,0,0,Italy,0,0,250,1877
Morocco,1,1,Bulgaria,0,1,250,1779
Czechoslovakia,0,1,England,0,0,250,1813
Belgium,0,1,Mexico,0,1,250,1752
Mexico,1,4,Italy,1,1,251,1882
England,2,3,Germany FR,0,0,251,1811
Peru,2,4,Brazil,1,2,251,1768
Soviet Union,0,1,Uruguay,0,0,251,1925
Uruguay,1,3,Brazil,1,1,569,1771
Germany FR,3,4,Italy,0,0,569,1838
Uruguay,0,1,Germany FR,0,1,3477,1843
Italy,1,4,Brazil,1,1,3476,1765
Yugoslavia,0,0,Brazil,0,0,262,1986
Chile,0,1,Germany FR,0,1,262,2003
Australia,0,2,German DR,0,0,262,1955
Scotland,2,0,Zaire,2,0,262,2176
Netherlands,2,0,Uruguay,1,0,262,2098
Bulgaria,0,0,Sweden,0,0,262,1995
Haiti,1,3,Italy,0,0,262,2083
Argentina,2,3,Poland,0,2,262,1952
Germany FR,3,0,Australia,2,0,262,1954
Brazil,0,0,Scotland,0,0,262,1985
German DR,1,1,Chile,0,0,262,2004
Zaire,0,9,Yugoslavia,0,6,262,2186
Sweden,0,0,Netherlands,0,0,262,2097
Uruguay,1,1,Bulgaria,0,0,262,1996
Poland,7,0,Haiti,5,0,262,2085
Italy,1,1,Argentina,1,1,262,1949
Yugoslavia,1,1,Scotland,0,0,262,2175
Chile,0,0,Australia,0,0,262,1953
Brazil,3,0,Zaire,1,0,262,1987
Germany FR,0,1,German DR,0,0,262,2062
Netherlands,4,1,Bulgaria,2,0,262,1990
Haiti,1,4,Argentina,0,2,262,1947
Uruguay,0,3,Sweden,0,0,262,2181
Italy,1,2,Poland,0,2,262,2129
Germany FR,2,0,Yugoslavia,1,0,263,2066
German DR,0,1,Brazil,0,0,263,1982
Argentina,0,4,Netherlands,0,2,263,1948
Poland,1,0,Sweden,1,0,263,2167
Brazil,2,1,Argentina,1,1,263,1945
Yugoslavia,1,2,Poland,1,1,263,2170
Netherlands,2,0,German DR,1,0,263,2067
Sweden,2,4,Germany FR,1,0,263,2065
Germany FR,1,0,Poland,0,0,263,2064
Brazil,0,2,Netherlands,0,0,263,1983
German DR,1,1,Argentina,1,1,263,1946
Yugoslavia,1,2,Sweden,1,1,263,2182
Poland,1,0,Brazil,0,0,264,1984
Germany FR,2,1,Netherlands,2,1,605,2063
Poland,0,0,Germany FR,0,0,278,2351
France,1,2,Italy,1,1,278,2347
Mexico,1,3,Tunisia,1,0,278,2433
Hungary,1,2,Argentina,1,1,278,2199
Brazil,1,1,Sweden,1,1,278,2253
Spain,1,2,Austria,1,1,278,2216
Scotland,1,3,Peru,1,1,278,2451
IR Iran,0,3,Netherlands,0,1,278,2388
Hungary,1,3,Italy,0,2,278,2396
Tunisia,0,1,Poland,0,1,278,2454
Mexico,0,6,Germany FR,0,4,278,2350
France,1,2,Argentina,0,1,278,2197
Spain,0,0,Brazil,0,0,278,2246
Sweden,0,1,Austria,0,1,278,2224
IR Iran,1,1,Scotland,0,1,278,2408
Peru,0,0,Netherlands,0,0,278,2394
Hungary,1,3,France,1,3,278,2344
Mexico,1,3,Poland,0,1,278,2431
Tunisia,0,0,Germany FR,0,0,278,2352
Argentina,0,1,Italy,0,0,278,2200
Austria,0,1,Brazil,0,1,278,2215
Sweden,0,1,Spain,0,0,278,2337
Iran,1,4,Peru,1,3,278,2405
Netherlands,2,3,Scotland,1,1,278,2395
Italy,0,0,Germany FR,0,0,279,2349
Austria,1,5,Netherlands,0,3,279,2220
Peru,0,3,Brazil,0,2,279,2251
Poland,0,2,Argentina,0,1,279,2202
Peru,0,1,Poland,0,0,279,2450
Austria,0,1,Italy,0,1,279,2221
Netherlands,2,2,Germany FR,1,1,279,2348
Brazil,0,0,Argentina,0,0,279,2196
Italy,1,2,Netherlands,1,0,279,2391
Germany FR,2,3,Austria,1,0,279,2217
Poland,1,3,Brazil,1,1,279,2252
Peru,0,6,Argentina,0,2,279,2201
Italy,1,2,Brazil,1,0,280,2247
Netherlands,1,3,Argentina,0,0,639,2198
Belgium,1,0,Argentina,0,0,293,749
Poland,0,0,Italy,0,0,293,995
Soviet Union,1,2,Brazil,1,0,293,791
Cameroon,0,0,Peru,0,0,293,833
El Salvador,1,10,Hungary,0,3,293,896
New Zealand,2,5,Scotland,0,3,293,1051
Algeria,2,1,Germany FR,0,0,293,741
France,1,3,England,1,1,293,878
Honduras,1,1,Spain,1,0,293,901
Austria,1,0,Chile,1,0,293,764
Kuwait,1,1,Czechoslovakia,0,1,293,1012
Northern Ireland,0,0,Yugoslavia,0,0,293,1044
Peru,1,1,Italy,0,1,293,994
Hungary,1,4,Argentina,0,2,293,752
Scotland,1,4,Brazil,1,1,293,790
Cameroon,0,0,Poland,0,0,293,834
El Salvador,0,1,Belgium,0,1,293,774
New Zealand,0,3,Soviet Union,0,1,293,1054
Chile,1,4,Germany FR,0,1,293,813
Czechoslovakia,0,2,England,0,0,293,889
Yugoslavia,1,2,Spain,1,1,293,903
Austria,2,0,Algeria,0,0,293,739
Kuwait,1,4,France,0,2,293,919
Northern Ireland,1,1,Honduras,1,0,293,959
Peru,1,5,Poland,0,0,293,1055
Hungary,1,1,Belgium,1,0,293,779
Scotland,2,2,Soviet Union,1,0,293,1071
Cameroon,1,1,Italy,0,0,293,828
El Salvador,0,2,Argentina,0,1,293,751
New Zealand,0,4,Brazil,0,2,293,789
Chile,2,3,Algeria,0,3,293,740
Czechoslovakia,1,1,France,0,0,293,922
Yugoslavia,1,0,Honduras,0,0,293,962
Austria,0,1,Germany FR,0,1,293,770
Kuwait,0,1,England,0,1,293,882
Spain,0,1,Northern Ireland,0,0,293,902
France,1,0,Austria,1,0,294,767
Belgium,0,3,Poland,0,2,294,782
Argentina,1,2,Italy,0,0,294,753
England,0,0,Germany FR,0,0,294,879
Northern Ireland,2,2,Austria,1,0,294,771
Soviet Union,1,0,Belgium,0,0,294,783
Brazil,3,1,Argentina,1,0,294,750
Spain,1,2,Germany FR,0,0,294,900
Northern Ireland,1,4,France,0,1,294,920
Soviet Union,0,0,Poland,0,0,294,1058
Brazil,2,3,Italy,1,2,294,788
England,0,0,Spain,0,0,294,877
Italy,2,0,Poland,1,0,295,996
France,3,3,Germany FR,0,0,295,914
France,2,3,Poland,1,2,676,921
Germany FR,1,3,Italy,0,0,3475,923
Italy,1,1,Bulgaria,1,0,308,459
France,1,0,Canada,0,0,308,468
Brazil,1,0,Spain,0,0,308,439
Hungary,0,6,Soviet Union,0,3,308,610
Korea Republic,1,3,Argentina,0,2,308,395
Poland,0,0,Morocco,0,0,308,674
Northern Ireland,1,1,Algeria,1,0,308,379
Mexico,2,1,Belgium,2,1,308,428
England,0,1,Portugal,0,0,308,538
Iraq,0,1,Paraguay,0,1,308,628
Denmark,1,0,Scotland,0,0,308,517
Germany FR,1,1,Uruguay,0,1,308,585
Argentina,1,1,Italy,1,1,308,394
Soviet Union,1,1,France,0,0,308,571
Bulgaria,1,1,Korea Republic,1,0,308,460
Canada,0,2,Hungary,0,1,308,475
Algeria,0,1,Brazil,0,0,308,377
Morocco,0,0,England,0,0,308,533
Spain,2,1,Northern Ireland,2,0,308,551
Paraguay,1,1,Mexico,0,1,308,680
Portugal,0,1,Poland,0,0,308,701
Belgium,2,1,Iraq,2,0,308,427
Uruguay,1,6,Denmark,1,2,308,522
Scotland,1,2,Germany FR,1,1,308,580
France,3,0,Hungary,1,0,308,567
Canada,0,2,Soviet Union,0,0,308,476
Italy,3,2,Korea Republic,1,0,308,643
Bulgaria,0,2,Argentina,0,1,308,389
Belgium,2,2,Paraguay,1,0,308,429
Mexico,1,0,Iraq,0,0,308,627
Morocco,3,1,Portugal,2,0,308,675
Poland,0,3,England,0,3,308,537
Brazil,3,0,Northern Ireland,2,0,308,441
Spain,3,0,Algeria,1,0,308,378
Uruguay,0,0,Scotland,0,0,308,712
Germany FR,0,2,Denmark,0,1,308,512
Belgium,4,3,Soviet Union,0,0,309,432
Bulgaria,0,2,Mexico,0,1,309,463
Uruguay,0,1,Argentina,0,1,309,398
Poland,0,4,Brazil,0,1,309,444
France,2,0,Italy,1,0,309,568
Germany FR,1,0,Morocco,0,0,309,574
Paraguay,0,3,England,0,1,309,536
Spain,5,1,Denmark,1,1,309,511
France,1,1,Brazil,0,0,714,440
Mexico,0,0,Germany FR,0,0,714,575
Belgium,1,1,Spain,0,0,714,421
England,1,2,Argentina,0,0,714,392
Germany FR,2,0,France,1,0,3469,564
Belgium,0,2,Argentina,0,0,3469,388
Belgium,2,4,France,0,0,3468,422
Germany FR,2,3,Argentina,0,1,3467,393
Cameroon,1,0,Argentina,0,0,322,26
Romania,2,0,Soviet Union,1,0,322,342
Colombia,2,0,United Arab Emirates,0,0,322,119
Austria,0,1,Italy,0,0,322,42
Czechoslovakia,5,1,USA,2,0,322,355
Sweden,1,2,Brazil,0,1,322,75
Yugoslavia,1,4,Germany FR,0,2,322,201
Scotland,0,1,Costa Rica,0,0,322,127
Republic of Ireland,1,1,England,0,1,322,161
Korea Republic,0,2,Belgium,0,0,322,57
Egypt,1,1,Netherlands,0,0,322,151
Spain,0,0,Uruguay,0,0,322,180
Soviet Union,0,2,Argentina,0,1,322,30
Romania,1,2,Cameroon,0,0,322,108
Colombia,0,1,Yugoslavia,0,0,322,120
USA,0,1,Italy,0,1,322,265
Czechoslovakia,1,0,Austria,1,0,322,43
United Arab Emirates,1,5,Germany FR,0,2,322,198
Costa Rica,0,1,Brazil,0,1,322,73
Scotland,2,1,Sweden,1,0,322,348
Netherlands,0,0,England,0,0,322,160
Egypt,0,0,Republic of Ireland,0,0,322,152
Spain,3,1,Korea Republic,1,1,322,175
Uruguay,1,3,Belgium,0,2,322,66
Romania,1,1,Argentina,0,0,322,29
Soviet Union,4,0,Cameroon,2,0,322,111
Colombia,1,1,Germany FR,0,0,322,114
United Arab Emirates,1,4,Yugoslavia,1,2,322,364
Czechoslovakia,0,2,Italy,0,1,322,263
USA,1,2,Austria,0,0,322,48
Scotland,0,1,Brazil,0,0,322,74
Costa Rica,2,1,Sweden,0,1,322,128
Uruguay,1,0,Korea Republic,0,0,322,290
Spain,2,1,Belgium,2,1,322,56
Netherlands,1,1,Republic of Ireland,1,0,322,228
Egypt,0,1,England,0,0,322,150
Colombia,1,2,Cameroon,0,0,323,102
Costa Rica,1,4,Czechoslovakia,0,1,323,129
Argentina,1,0,Brazil,0,0,323,25
Netherlands,1,2,Germany FR,0,0,323,196
Romania,0,0,Republic of Ireland,0,0,323,248
Uruguay,0,2,Italy,0,0,323,264
Yugoslavia,2,1,Spain,0,0,323,181
Belgium,0,1,England,0,0,323,55
Argentina,0,0,Yugoslavia,0,0,751,31
Republic of Ireland,0,1,Italy,0,1,751,243
Czechoslovakia,0,1,Germany FR,0,1,751,197
Cameroon,2,3,England,0,0,751,103
Argentina,1,1,Italy,0,0,3464,28
England,1,1,Germany FR,0,0,3464,159
England,1,2,Italy,0,0,3463,162
Argentina,0,1,Germany FR,0,0,3462,27
Korea Republic,2,2,Spain,0,0,337,3050
Bolivia,0,1,Germany,0,0,337,3049
Switzerland,1,1,USA,1,1,337,3051
Republic of Ireland,1,0,Italy,1,0,337,3052
Romania,3,1,Colombia,2,1,337,3053
Morocco,0,1,Belgium,0,1,337,3054
Mexico,0,1,Norway,0,0,337,3055
Sweden,2,2,Cameroon,1,1,337,3056
Saudi Arabia,1,2,Netherlands,1,0,337,3058
Russia,0,2,Brazil,0,1,337,3057
Greece,0,4,Argentina,0,2,337,3059
Bulgaria,0,3,Nigeria,0,2,337,3061
Spain,1,1,Germany,1,0,337,3060
Switzerland,4,1,Romania,1,1,337,3062
Colombia,1,2,USA,0,1,337,3063
Norway,0,1,Italy,0,0,337,3064
Bolivia,0,0,Korea Republic,0,0,337,3065
Republic of Ireland,1,2,Mexico,0,1,337,3066
Russia,1,3,Sweden,1,1,337,3068
Cameroon,0,3,Brazil,0,1,337,3067
Netherlands,0,1,Belgium,0,0,337,3069
Morocco,1,2,Saudi Arabia,1,2,337,3070
Nigeria,1,2,Argentina,1,2,337,3071
Greece,0,4,Bulgaria,0,1,337,3072
Romania,1,0,USA,1,0,337,3073
Colombia,2,0,Switzerland,1,0,337,3074
Korea Republic,2,3,Germany,0,3,337,3076
Spain,3,1,Bolivia,1,0,337,3075
Norway,0,0,Republic of Ireland,0,0,337,3077
Sweden,1,1,Brazil,1,0,337,3080
Mexico,1,1,Italy,0,0,337,3078
Cameroon,1,6,Russia,0,3,337,3079
Netherlands,2,1,Morocco,1,0,337,3081
Saudi Arabia,1,0,Belgium,1,0,337,3082
Nigeria,2,0,Greece,1,0,337,3083
Bulgaria,2,0,Argentina,0,0,337,3084
Belgium,2,3,Germany,1,3,338,3085
Switzerland,0,3,Spain,0,1,338,3086
Sweden,3,1,Saudi Arabia,1,0,338,3087
Argentina,2,3,Romania,1,2,338,3088
Republic of Ireland,0,2,Netherlands,0,2,338,3089
USA,0,1,Brazil,0,0,338,3090
Italy,2,1,Nigeria,0,0,338,3091
Bulgaria,1,1,Mexico,0,0,338,3092
Spain,1,2,Italy,0,1,796,3097
Brazil,3,2,Netherlands,0,0,796,3098
Germany,1,2,Bulgaria,0,0,796,3096
Sweden,2,2,Romania,0,0,796,3095
Italy,2,1,Bulgaria,2,1,3461,3100
Brazil,1,0,Sweden,0,0,3461,3099
Bulgaria,0,4,Sweden,0,4,3460,3103
Italy,0,0,Brazil,0,0,3459,3104
Scotland,1,2,Brazil,1,1,1014,4000
Norway,2,2,Morocco,1,1,1014,8725
Chile,2,2,Italy,1,1,1014,8726
Austria,1,1,Cameroon,0,0,1014,8727
Bulgaria,0,0,Paraguay,0,0,1014,8728
Denmark,1,0,Saudi Arabia,0,0,1014,8729
South Africa,0,3,France,0,1,1014,8730
Nigeria,3,2,Spain,1,1,1014,8731
Mexico,3,1,Korea Republic,0,1,1014,8732
Belgium,0,0,Netherlands,0,0,1014,8733
Japan,0,1,Argentina,0,1,1014,8734
Iran,0,1,Yugoslavia,0,0,1014,8735
Croatia,3,1,Jamaica,1,1,1014,8736
Tunisia,0,2,England,0,1,1014,8740
Colombia,0,1,Romania,0,1,1014,8739
USA,0,2,Germany,0,1,1014,8738
Norway,1,1,Scotland,0,0,1014,8741
Morocco,0,3,Brazil,0,2,1014,8742
Austria,1,1,Chile,0,0,1014,8743
Cameroon,0,3,Italy,0,1,1014,8744
Denmark,1,1,South Africa,1,0,1014,8746
Saudi Arabia,0,4,France,0,1,1014,8745
Bulgaria,0,1,Nigeria,0,1,1014,8747
Paraguay,0,0,Spain,0,0,1014,8748
Croatia,1,0,Japan,0,0,1014,8751
Mexico,2,2,Belgium,0,1,1014,8750
Korea Republic,0,5,Netherlands,0,2,1014,8749
Yugoslavia,2,2,Germany,1,0,1014,8753
Jamaica,0,5,Argentina,0,1,1014,8752
Iran,2,1,USA,1,0,1014,8754
Tunisia,0,1,Colombia,0,0,1014,8755
England,1,2,Romania,0,0,1014,8756
Austria,1,2,Italy,0,0,1014,8757
Cameroon,1,1,Chile,0,1,1014,8760
Morocco,3,0,Scotland,1,0,1014,8758
Norway,2,1,Brazil,0,0,1014,8759
Denmark,1,2,France,1,1,1014,8762
Saudi Arabia,2,2,South Africa,1,1,1014,8764
Bulgaria,1,6,Spain,0,2,1014,8761
Paraguay,3,1,Nigeria,1,1,1014,8763
Korea Republic,1,1,Belgium,0,1,1014,8765
Mexico,2,2,Netherlands,0,2,1014,8766
Iran,0,2,Germany,0,0,1014,8767
Yugoslavia,1,0,USA,1,0,1014,8768
Jamaica,2,1,Japan,1,0,1014,8771
Croatia,0,1,Argentina,0,1,1014,8772
Tunisia,1,1,Romania,1,0,1014,8769
England,2,0,Colombia,2,0,1014,8770
Norway,0,1,Italy,0,1,1024,8774
Chile,1,4,Brazil,0,3,1024,8773
Paraguay,0,1,France,0,0,1024,8776
Denmark,4,1,Nigeria,2,0,1024,8775
Mexico,1,2,Germany,0,0,1024,8777
Yugoslavia,1,2,Netherlands,0,1,1024,8778
Croatia,1,0,Romania,1,0,1024,8780
England,2,2,Argentina,0,0,1024,8779
France,0,0,Italy,0,0,1025,8781
Denmark,2,3,Brazil,1,2,1025,8782
Argentina,1,2,Netherlands,1,1,1025,8784
Croatia,3,0,Germany,1,0,1025,8783
Netherlands,1,1,Brazil,0,0,1026,8785
Croatia,1,2,France,0,0,1026,8786
Croatia,2,1,Netherlands,2,1,1028,8787
France,3,0,Brazil,2,0,1027,8788
Senegal,1,0,France,1,0,43950100,43950001
Denmark,2,1,Uruguay,1,0,43950100,43950003
Cameroon,1,1,Republic of Ireland,1,0,43950100,43950002
Saudi Arabia,0,8,Germany,0,4,43950100,43950004
Nigeria,0,1,Argentina,0,0,43950100,43950007
South Africa,2,2,Paraguay,0,1,43950100,43950006
Sweden,1,1,England,0,1,43950100,43950005
Slovenia,1,3,Spain,0,1,43950100,43950008
Turkey,1,2,Brazil,1,0,43950100,43950010
Ecuador,0,2,Italy,0,2,43950100,43950011
Mexico,1,0,Croatia,0,0,43950100,43950009
Costa Rica,2,0,China PR,0,0,43950100,43950012
Belgium,2,2,Japan,0,0,43950100,43950013
Poland,0,2,Korea Republic,0,1,43950100,43950014
Tunisia,0,2,Russia,0,0,43950100,43950015
Portugal,2,3,USA,1,3,43950100,43950016
Republic of Ireland,1,1,Germany,0,1,43950100,43950017
Senegal,1,1,Denmark,0,1,43950100,43950020
Saudi Arabia,0,1,Cameroon,0,0,43950100,43950019
Uruguay,0,0,France,0,0,43950100,43950018
Nigeria,1,2,Sweden,1,1,43950100,43950021
England,1,0,Argentina,1,0,43950100,43950023
Paraguay,1,3,Spain,1,0,43950100,43950022
Slovenia,0,1,South Africa,0,1,43950100,43950024
China PR,0,4,Brazil,0,3,43950100,43950026
Croatia,2,1,Italy,0,0,43950100,43950025
Turkey,1,1,Costa Rica,0,0,43950100,43950028
Russia,0,1,Japan,0,0,43950100,43950029
Ecuador,1,2,Mexico,1,1,43950100,43950027
USA,1,1,Korea Republic,1,0,43950100,43950030
Poland,0,4,Portugal,0,1,43950100,43950032
Belgium,1,1,Tunisia,1,1,43950100,43950031
France,0,2,Denmark,0,1,43950100,43950033
Uruguay,3,3,Senegal,0,3,43950100,43950034
Republic of Ireland,3,0,Saudi Arabia,1,0,43950100,43950036
Germany,2,0,Cameroon,0,0,43950100,43950035
Argentina,1,1,Sweden,0,0,43950100,43950037
England,0,0,Nigeria,0,0,43950100,43950038
Paraguay,3,1,Slovenia,0,1,43950100,43950040
Spain,3,2,South Africa,2,1,43950100,43950039
Brazil,5,2,Costa Rica,3,1,43950100,43950041
China PR,0,3,Turkey,0,2,43950100,43950042
Croatia,0,1,Ecuador,0,0,43950100,43950044
Italy,1,1,Mexico,0,1,43950100,43950043
Japan,2,0,Tunisia,0,0,43950100,43950045
Korea Republic,1,0,Portugal,0,0,43950100,43950047
USA,1,3,Poland,0,2,43950100,43950048
Russia,2,3,Belgium,0,1,43950100,43950046
England,3,0,Denmark,3,0,43950200,43950050
Paraguay,0,1,Germany,0,0,43950200,43950049
Republic of Ireland,1,1,Spain,0,0,43950200,43950052
Senegal,2,1,Sweden,0,0,43950200,43950051
Belgium,0,2,Brazil,0,0,43950200,43950054
USA,2,0,Mexico,1,0,43950200,43950053
Turkey,1,0,Japan,1,0,43950200,43950055
Italy,1,2,Korea Republic,0,0,43950200,43950056
Brazil,2,1,England,1,1,43950300,43950057
USA,0,1,Germany,0,1,43950300,43950058
Turkey,1,0,Senegal,0,0,43950300,43950060
Korea Republic,0,0,Spain,0,0,43950300,43950059
Korea Republic,0,1,Germany,0,0,43950400,43950061
Turkey,0,1,Brazil,0,0,43950400,43950062
Turkey,3,2,Korea Republic,3,1,43950500,43950063
Brazil,2,0,Germany,0,0,43950600,43950064
Costa Rica,2,4,Germany,1,2,97410100,97410001
Ecuador,2,0,Poland,1,0,97410100,97410002
Paraguay,0,1,England,0,1,97410100,97410003
Sweden,0,0,Trinidad and Tobago,0,0,97410100,97410004
Cate d'Ivoire,1,2,Argentina,0,2,97410100,97410005
Netherlands,1,0,Serbia and Montenegro,1,0,97410100,97410006
Iran,1,3,Mexico,1,1,97410100,97410007
Portugal,1,0,Angola,1,0,97410100,97410008
Japan,1,3,Australia,1,0,97410100,97410012
Czech Republic,3,0,USA,2,0,97410100,97410010
Ghana,0,2,Italy,0,1,97410100,97410009
Togo,1,2,Korea Republic,1,0,97410100,97410014
Switzerland,0,0,France,0,0,97410100,97410013
Croatia,0,1,Brazil,0,1,97410100,97410011
Ukraine,0,4,Spain,0,2,97410100,97410015
